track_id,name,album_id,track_number,duration_ms,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7ynmAvlaIbYWpXtpX2PlpX,Dynamite - Instrumental,6K4chJALBBMYmXjwgvqahx,2,198770,https://p.scdn.co/mp3-preview/4450133399d4a6e216f0e4a0268cc141c4ba6036?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.861,0.658,11,-6.966,1,0.05,0.00903,0.803,0.0443,0.625,114.0
2lNQ0rDuTKcP6BgRFkkq3p,Dynamite - Acoustic Remix,6K4chJALBBMYmXjwgvqahx,3,197993,https://p.scdn.co/mp3-preview/cf094bbab205a510b82040769c30d7c13fd2ef3a?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.656,0.889,1,-5.136,0,0.203,0.0228,7.56e-06,0.366,0.575,113.943
2qqTvYWvr4BYsRXzNfsr7D,Dynamite - EDM Remix,6K4chJALBBMYmXjwgvqahx,4,198939,https://p.scdn.co/mp3-preview/ea905be90ffeafdb26e62fac7e57918a0cd14270?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.707,0.838,1,-4.732,0,0.0599,0.0019,0.444,0.0961,0.318,122.985
7r6bu5Xd0q2TK1QQMduxb8,Dynamite - Tropical Remix,6K4chJALBBMYmXjwgvqahx,5,197101,https://p.scdn.co/mp3-preview/6b57aaa9600a720ce71a782b5f7a04ed3ee953ce?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.729,0.896,1,-3.308,0,0.0667,0.0295,1.52e-06,0.234,0.62,114.035
2JZPlXE8c0oLZoCsqFFmgo,Dynamite - Poolside Remix,6K4chJALBBMYmXjwgvqahx,6,182591,https://p.scdn.co/mp3-preview/b684b3e1cf0945fcbd8b5225d8981f1296f16807?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.686,0.877,1,-4.854,0,0.143,0.0089,0.000869,0.208,0.406,123.91
0UwQTbq7ZtBJ7v530mpaxP,Stay Gold,2TOMIcHmmsiCSB1VU4T8Gb,1,243733,https://p.scdn.co/mp3-preview/087d39d8148648d8739f777b726430e7e1927c93?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.724,0.631,1,-5.403,1,0.0517,0.0873,0.0,0.0752,0.548,129.019
24NuEDgyRIljwSyY0lsr7b,Black Swan,4RR8ROIGix5CbCGlXHA53I,1,198260,https://p.scdn.co/mp3-preview/879c7106422b0b53852209da6a63210be7e09b01?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.719,0.758,2,-5.167,0,0.0851,0.137,0.0,0.129,0.49,147.023
5a0nHa7F4S9hb0Zi0zLS8w,SUGA's Interlude,0JfaSjTaej3QB27ofjnbQV,1,138204,https://p.scdn.co/mp3-preview/583d8a702c6609fc9a72060379bb742fe6821ddd?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836
45oantdYijrgFgbeyzkuVX,Make It Right (feat. Lauv) [Acoustic Remix],1x5gfQqU1mnb3e3jzqyeDY,1,255541,https://p.scdn.co/mp3-preview/0080019550491cf8ec625915a79b9ed498df03b0?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.701,0.557,7,-5.757,1,0.148,0.00484,0.0,0.252,0.514,100.218
733yOf6BYdGuFOgaedo9BK,Make It Right (feat. Lauv) [EDM Remix],4fkUwOlruyTwQNG1LD6MJX,1,246322,https://p.scdn.co/mp3-preview/28b49551d064823da6617582d2c295a9b06d543c?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.648,0.741,7,-6.655,1,0.313,0.00351,0.0,0.0932,0.238,106.001
